,#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
27037,2020,7,7,5,40,999,5.2,6.2,1.82,13.79,7.21,173,1011.4,18.9,999.0,16.5,99,99
27043,2020,7,7,6,40,999,5.2,7.1,1.5,8.33,6.69,284,1011.4,18.6,999.0,15.9,99,99
27049,2020,7,7,7,40,999,4.5,5.7,1.74,13.79,7.12,171,1011.3,18.6,999.0,16.0,99,99
27055,2020,7,7,8,40,999,4.0,5.3,1.73,13.79,6.96,174,1011.3,18.5,999.0,16.0,99,99
27061,2020,7,7,9,40,999,3.4,4.6,1.77,10.0,6.86,284,1011.2,18.2,999.0,15.6,99,99
27067,2020,7,7,10,40,999,2.9,4.3,1.94,9.09,6.91,285,1011.0,18.0,999.0,15.1,99,99
27073,2020,7,7,11,40,999,3.8,5.4,1.91,8.33,7.13,287,1011.0,17.9,999.0,15.2,99,99
27079,2020,7,7,12,40,999,3.7,5.3,2.01,10.0,7.25,282,1011.3,17.9,999.0,15.3,99,99
27085,2020,7,7,13,40,999,2.2,3.7,2.13,9.09,7.26,279,1011.7,17.7,999.0,15.0,99,99
27091,2020,7,7,14,40,999,1.4,3.2,2.07,10.0,7.13,288,1012.2,17.7,999.0,14.9,99,99
27194,2020,7,8,22,40,999,5.4,7.2,1.69,8.33,6.57,280,1011.7,17.1,999.0,14.1,99,99
27346,2020,7,10,23,40,999,5.0,6.4,1.12,12.12,6.64,185,1013.9,19.9,999.0,16.6,99,99
27357,2020,7,11,2,40,999,4.3,5.2,1.1,12.12,5.98,196,1014.1,19.1,999.0,16.6,99,99
27363,2020,7,11,3,40,999,5.2,6.3,0.92,12.12,5.51,187,1013.9,18.9,999.0,16.7,99,99
27369,2020,7,11,4,40,999,4.7,6.0,0.92,12.12,5.65,185,1014.4,18.8,999.0,16.7,99,99
27375,2020,7,11,5,40,999,4.3,5.1,0.93,12.9,5.69,167,1014.8,18.8,999.0,16.7,99,99
27381,2020,7,11,6,40,999,4.1,5.0,0.87,12.12,5.97,165,1015.0,18.9,999.0,16.8,99,99
27387,2020,7,11,7,40,999,3.7,4.6,0.89,12.9,6.17,174,1014.9,18.8,999.0,16.9,99,99
27393,2020,7,11,8,40,999,3.3,4.2,0.84,12.12,6.12,194,1014.9,18.8,999.0,16.9,99,99
27399,2020,7,11,9,40,999,3.3,4.1,0.84,12.9,6.3,174,1014.4,18.9,999.0,17.0,99,99
27405,2020,7,11,10,40,999,3.0,3.8,0.92,12.12,6.71,187,1014.4,19.1,999.0,17.1,99,99
27411,2020,7,11,11,40,999,2.6,3.3,0.91,11.43,6.47,175,1014.7,19.1,999.0,17.2,99,99
27417,2020,7,11,12,40,999,1.6,2.9,0.84,12.12,6.35,180,1015.1,19.0,999.0,17.2,99,99
27423,2020,7,11,13,40,999,1.5,2.2,0.91,8.33,6.55,279,1015.5,18.9,999.0,17.2,99,99
27429,2020,7,11,14,40,999,1.9,2.9,0.88,12.12,6.75,163,1015.8,18.7,999.0,16.9,99,99
27435,2020,7,11,15,40,999,1.2,2.4,0.81,8.33,6.0,292,1016.1,18.9,999.0,17.0,99,99
27441,2020,7,11,16,40,999,2.3,3.5,0.84,12.12,6.11,178,1015.9,18.9,999.0,17.1,99,99
27447,2020,7,11,17,40,999,4.0,5.3,0.86,12.9,6.17,152,1015.8,18.7,999.0,17.1,99,99
27453,2020,7,11,18,40,999,4.8,5.9,0.83,12.12,5.93,168,1015.7,18.7,999.0,17.3,99,99
27459,2020,7,11,19,40,999,2.5,3.7,0.9,7.69,5.99,285,1016.3,18.7,999.0,17.0,99,99
27465,2020,7,11,20,40,999,5.2,6.2,0.88,12.12,5.83,159,1015.3,19.3,999.0,17.2,99,99
27471,2020,7,11,21,40,999,5.4,6.5,1.09,11.43,5.83,161,1014.9,19.6,999.0,17.3,99,99
27477,2020,7,11,22,40,999,6.5,7.7,0.99,12.12,5.38,162,1014.1,19.9,999.0,17.6,99,99
27483,2020,7,11,23,40,999,6.7,8.0,1.09,11.43,5.43,161,1013.5,20.0,999.0,17.3,99,99
27489,2020,7,12,0,40,999,6.3,7.4,1.04,12.12,4.92,145,1012.9,20.1,999.0,17.6,99,99
27495,2020,7,12,1,40,999,5.8,6.9,1.11,11.43,5.16,171,1013.3,20.2,999.0,17.5,99,99
27501,2020,7,12,2,40,999,5.2,6.1,1.0,11.43,5.19,157,1013.5,20.0,999.0,17.5,99,99
27507,2020,7,12,3,40,999,4.7,5.7,0.89,10.81,4.81,172,1014.1,19.8,999.0,17.4,99,99
27513,2020,7,12,4,40,999,4.7,5.6,0.88,10.81,4.91,164,1014.7,19.9,999.0,17.4,99,99
27519,2020,7,12,5,40,999,4.0,4.8,0.89,10.81,5.17,159,1014.9,20.0,999.0,17.5,99,99
27525,2020,7,12,6,40,999,2.7,3.2,0.87,10.81,5.6,160,1014.9,20.0,999.0,17.7,99,99
27531,2020,7,12,7,40,999,3.8,4.6,0.87,10.81,5.81,162,1014.4,19.9,999.0,17.8,99,99
27537,2020,7,12,8,40,999,4.9,5.6,0.89,10.81,5.86,166,1013.7,19.7,999.0,17.7,99,99
27543,2020,7,12,9,40,999,4.5,5.5,0.96,10.81,6.04,153,1013.2,19.7,999.0,17.8,99,99
27549,2020,7,12,10,40,999,5.3,6.6,1.0,10.81,6.22,150,1012.9,19.6,999.0,17.7,99,99
27555,2020,7,12,11,40,999,5.5,6.7,0.99,10.81,5.73,157,1012.8,19.5,999.0,17.6,99,99
27561,2020,7,12,12,40,999,6.1,7.3,1.09,10.81,6.08,168,1012.8,19.4,999.0,17.5,99,99
27567,2020,7,12,13,40,999,6.2,7.7,1.09,10.81,5.51,150,1012.8,19.4,999.0,17.5,99,99
27573,2020,7,12,14,40,999,4.8,6.1,1.04,10.0,5.53,176,1013.3,19.6,999.0,17.6,99,99
27579,2020,7,12,15,40,999,3.7,4.6,1.1,10.0,6.01,153,1013.3,20.1,999.0,18.1,99,99
27585,2020,7,12,16,40,999,2.9,3.7,1.12,8.33,5.94,272,1013.0,20.2,999.0,18.1,99,99
27591,2020,7,12,17,40,999,3.7,4.7,1.19,7.69,5.97,285,1012.8,20.0,999.0,17.9,99,99
27597,2020,7,12,18,40,999,3.8,4.7,1.22,11.43,5.96,145,1012.8,20.0,999.0,17.7,99,99
27603,2020,7,12,19,40,999,5.3,6.3,1.25,10.81,5.85,160,1012.6,19.9,999.0,17.7,99,99
27609,2020,7,12,20,40,999,6.6,8.1,1.19,10.0,5.62,168,1011.8,19.7,999.0,17.5,99,99
27615,2020,7,12,21,40,999,7.2,8.6,1.38,10.81,5.74,155,1011.2,19.6,999.0,17.4,99,99
27621,2020,7,12,22,40,999,6.8,8.1,1.28,10.0,5.43,151,1010.9,19.6,999.0,17.4,99,99
27627,2020,7,12,23,40,999,7.1,8.7,1.32,10.0,5.29,153,1010.4,19.6,999.0,17.4,99,99
27633,2020,7,13,0,40,999,7.8,9.2,1.39,10.0,5.21,156,1010.0,19.5,999.0,17.4,99,99
27639,2020,7,13,1,40,999,7.1,8.4,1.33,4.76,4.99,279,1010.2,19.5,999.0,17.5,99,99
27645,2020,7,13,2,40,999,5.8,7.2,1.3,5.0,4.98,280,1010.6,19.4,999.0,17.4,99,99
27651,2020,7,13,3,40,999,5.5,6.6,1.33,10.0,5.12,171,1011.1,19.4,999.0,17.4,99,99
27657,2020,7,13,4,40,999,5.0,6.3,1.21,4.76,5.13,287,1011.4,19.3,999.0,17.4,99,99
27663,2020,7,13,5,40,999,4.2,5.1,1.22,8.33,5.42,279,1011.7,19.4,999.0,17.4,99,99
27669,2020,7,13,6,40,999,4.8,5.9,1.18,8.33,5.57,265,1012.0,19.3,999.0,17.3,99,99
27675,2020,7,13,7,40,999,5.0,5.8,1.16,8.33,5.77,269,1011.9,19.1,999.0,17.1,99,99
27681,2020,7,13,8,40,999,4.8,5.8,1.11,9.09,5.96,241,1011.7,19.0,999.0,17.0,99,99
27687,2020,7,13,9,40,999,4.7,5.8,1.2,8.33,5.72,284,1011.4,18.8,999.0,16.8,99,99
27693,2020,7,13,10,40,999,4.2,5.8,1.25,7.69,6.02,277,1011.4,18.7,999.0,16.6,99,99
27699,2020,7,13,11,40,999,3.6,4.9,1.29,7.69,6.26,288,1011.4,18.5,999.0,16.5,99,99
27705,2020,7,13,12,40,999,2.7,4.1,1.29,8.33,6.19,251,1011.6,18.4,999.0,16.4,99,99
27711,2020,7,13,13,40,999,2.9,4.0,1.27,8.33,6.25,240,1012.0,18.4,999.0,16.4,99,99
27717,2020,7,13,14,40,999,2.3,4.3,1.23,6.25,6.0,271,1012.5,18.3,999.0,16.2,99,99
27723,2020,7,13,15,40,999,3.1,4.4,1.24,7.69,6.3,270,1012.9,18.4,999.0,16.1,99,99
27729,2020,7,13,16,40,999,4.1,5.6,1.32,8.33,6.25,218,1012.9,18.4,999.0,16.1,99,99
27735,2020,7,13,17,40,999,3.4,4.8,1.23,6.67,6.05,281,1013.5,18.4,999.0,15.9,99,99
27741,2020,7,13,18,40,999,4.0,5.4,1.24,8.33,6.2,249,1013.5,18.5,999.0,15.9,99,99
27747,2020,7,13,19,40,999,4.6,6.5,1.2,8.33,6.03,250,1013.6,18.5,999.0,16.0,99,99
27753,2020,7,13,20,40,999,4.8,6.6,1.29,8.33,5.86,253,1013.3,18.5,999.0,16.1,99,99
27759,2020,7,13,21,40,999,4.6,6.1,1.2,7.69,5.73,262,1013.2,18.7,999.0,16.3,99,99
27765,2020,7,13,22,40,999,4.9,6.9,1.21,8.33,5.86,291,1012.9,19.0,999.0,16.8,99,99
27771,2020,7,13,23,40,999,5.4,7.1,1.23,7.69,5.65,275,1012.5,19.2,999.0,17.1,99,99
27777,2020,7,14,0,40,999,6.5,8.1,1.22,8.33,5.43,269,1012.2,18.8,999.0,16.8,99,99
27783,2020,7,14,1,40,999,7.4,9.4,1.24,8.33,5.28,278,1012.2,18.8,999.0,16.8,99,99
27789,2020,7,14,2,40,999,7.3,8.9,1.36,7.69,5.29,283,1012.4,18.6,999.0,16.8,99,99
27795,2020,7,14,3,40,999,5.8,7.2,1.36,8.33,5.37,296,1013.2,18.2,999.0,16.6,99,99
27801,2020,7,14,4,40,999,5.9,7.7,1.32,8.33,5.35,262,1013.8,17.8,999.0,16.0,99,99
27807,2020,7,14,5,40,999,5.6,8.1,1.38,8.33,5.53,286,1014.0,17.6,999.0,15.5,99,99
27813,2020,7,14,6,40,999,5.7,7.2,1.3,8.33,5.63,264,1014.3,17.8,999.0,15.7,99,99
27819,2020,7,14,7,40,999,4.7,7.0,1.41,9.09,5.81,239,1014.3,17.8,999.0,15.8,99,99
27825,2020,7,14,8,40,999,5.4,7.6,1.45,7.69,5.92,258,1014.0,17.7,999.0,15.8,99,99
27831,2020,7,14,9,40,999,4.6,6.5,1.29,6.25,5.67,276,1013.7,17.6,999.0,15.8,99,99
27837,2020,7,14,10,40,999,4.0,5.8,1.24,7.69,5.89,253,1013.7,17.3,999.0,15.5,99,99
27843,2020,7,14,11,40,999,4.0,6.1,1.42,7.14,6.14,279,1013.7,17.4,999.0,15.7,99,99
27849,2020,7,14,12,40,999,3.5,5.6,1.4,7.69,6.0,274,1013.9,17.2,999.0,15.3,99,99
27855,2020,7,14,13,40,999,3.0,5.6,1.47,7.14,6.0,283,1014.4,17.3,999.0,15.2,99,99
27861,2020,7,14,14,40,999,3.4,5.1,1.49,7.14,6.16,268,1014.8,17.4,999.0,15.1,99,99
27867,2020,7,14,15,40,999,4.4,6.0,1.39,7.14,6.06,273,1015.3,17.3,999.0,14.0,99,99
27873,2020,7,14,16,40,999,4.3,6.0,1.31,7.14,6.01,271,1015.5,17.4,999.0,14.0,99,99
27879,2020,7,14,17,40,999,4.2,6.5,1.28,7.14,5.87,279,1015.8,17.5,999.0,14.3,99,99
27885,2020,7,14,18,40,999,4.2,5.9,1.29,6.25,5.78,282,1016.0,17.4,999.0,15.2,99,99
27891,2020,7,14,19,40,999,4.9,6.8,1.24,7.69,5.67,257,1015.8,17.7,999.0,15.2,99,99
27897,2020,7,14,20,40,999,6.3,7.7,1.21,6.67,5.53,270,1015.3,17.8,999.0,14.7,99,99
27903,2020,7,14,21,40,999,7.5,9.6,1.28,6.67,5.46,273,1014.7,17.7,999.0,14.5,99,99
27909,2020,7,14,22,40,999,7.9,10.0,1.27,7.69,5.18,273,1014.4,17.8,999.0,14.7,99,99
27915,2020,7,14,23,40,999,6.8,9.0,1.31,7.14,5.23,269,1014.3,18.0,999.0,14.9,99,99
27921,2020,7,15,0,40,999,7.9,9.4,1.4,6.25,5.22,271,1013.8,18.0,999.0,15.0,99,99
27927,2020,7,15,1,40,999,8.1,9.8,1.37,10.0,5.12,278,1013.8,18.1,999.0,15.1,99,99
27933,2020,7,15,2,40,999,7.5,9.4,1.29,7.14,4.92,282,1014.1,17.8,999.0,15.1,99,99
27939,2020,7,15,3,40,999,7.5,9.2,1.45,5.88,5.16,274,1014.2,17.7,999.0,15.3,99,99
27945,2020,7,15,4,40,999,7.8,9.2,1.42,5.56,5.02,277,1014.6,17.8,999.0,15.2,99,99
27951,2020,7,15,5,40,999,5.6,7.4,1.34,5.88,5.3,269,1014.9,17.7,999.0,14.8,99,99
27957,2020,7,15,6,40,999,4.8,6.3,1.31,5.56,5.24,273,1015.0,17.6,999.0,14.4,99,99
27963,2020,7,15,7,40,999,4.5,6.8,1.33,5.26,5.34,274,1014.9,17.6,999.0,14.2,99,99
27969,2020,7,15,8,40,999,4.9,7.1,1.31,5.88,5.67,269,1014.4,17.7,999.0,14.3,99,99
27975,2020,7,15,9,40,999,5.2,7.2,1.28,6.25,5.58,273,1013.9,17.6,999.0,14.3,99,99
27981,2020,7,15,10,40,999,4.8,7.3,1.36,7.14,5.84,268,1014.0,17.6,999.0,14.3,99,99
27987,2020,7,15,11,40,999,5.3,7.9,1.36,6.67,5.71,269,1013.8,17.5,999.0,14.2,99,99
27993,2020,7,15,12,40,999,4.6,7.5,1.36,6.67,5.78,274,1014.1,17.4,999.0,14.0,99,99
27999,2020,7,15,13,40,999,4.6,7.0,1.34,6.67,5.68,272,1014.2,17.5,999.0,14.0,99,99
28005,2020,7,15,14,40,999,5.1,7.4,1.3,6.67,5.84,273,1014.4,17.7,999.0,14.2,99,99
28011,2020,7,15,15,40,999,4.2,6.5,1.29,6.25,5.54,276,1015.1,17.9,999.0,14.3,99,99
28017,2020,7,15,16,40,999,5.0,7.2,1.27,6.67,5.64,271,1015.2,18.0,999.0,14.4,99,99
28023,2020,7,15,17,40,999,4.9,6.5,1.23,7.69,5.66,275,1015.1,18.0,999.0,13.9,99,99
28029,2020,7,15,18,40,999,4.9,6.3,1.13,9.09,5.42,262,1014.9,18.0,999.0,14.0,99,99
28035,2020,7,15,19,40,999,5.6,7.6,1.13,6.25,5.51,273,1015.0,18.1,999.0,14.2,99,99
28041,2020,7,15,20,40,999,6.8,8.6,1.18,8.33,5.35,265,1014.6,18.1,999.0,14.2,99,99
28047,2020,7,15,21,40,999,6.9,8.4,1.06,5.26,4.83,269,1014.4,18.2,999.0,14.4,99,99
28053,2020,7,15,22,40,999,7.9,10.1,1.17,6.67,4.99,268,1013.6,18.2,999.0,14.5,99,99
28059,2020,7,15,23,40,999,8.3,10.0,1.16,5.26,4.95,275,1013.3,18.3,999.0,14.4,99,99
28065,2020,7,16,0,40,999,8.0,9.6,1.16,4.17,4.7,272,1013.0,18.2,999.0,14.4,99,99
28071,2020,7,16,1,40,999,7.0,8.7,1.18,4.35,4.88,275,1013.1,18.3,999.0,14.6,99,99
28077,2020,7,16,2,40,999,6.1,7.8,1.15,4.35,4.67,270,1013.2,18.1,999.0,14.6,99,99
28083,2020,7,16,3,40,999,6.7,8.0,1.12,8.33,4.84,287,1013.1,18.0,999.0,14.6,99,99
28089,2020,7,16,4,40,999,6.3,7.7,1.08,9.09,4.8,284,1013.3,17.9,999.0,14.6,99,99
28095,2020,7,16,5,40,999,4.7,6.0,1.01,5.26,4.87,271,1013.3,18.1,999.0,14.8,99,99
28101,2020,7,16,6,40,999,3.2,5.1,0.93,4.17,4.84,290,1013.0,17.9,999.0,14.2,99,99
28107,2020,7,16,7,40,999,2.6,3.8,0.91,13.79,4.98,181,1013.1,17.9,999.0,14.0,99,99
28113,2020,7,16,8,40,999,2.8,4.7,0.89,13.79,5.12,196,1012.8,18.0,999.0,14.1,99,99
28119,2020,7,16,9,40,999,2.3,5.2,0.85,10.81,5.14,194,1012.6,17.7,999.0,13.6,99,99
28125,2020,7,16,10,40,999,4.0,5.3,0.85,8.33,5.13,275,1012.3,17.6,999.0,13.6,99,99
28131,2020,7,16,11,40,999,4.1,5.6,0.85,9.09,5.43,280,1012.4,17.7,999.0,13.7,99,99
28137,2020,7,16,12,40,999,4.0,5.5,0.76,10.0,5.06,197,1012.5,17.6,999.0,13.4,99,99
28143,2020,7,16,13,40,999,3.4,5.2,0.82,13.79,5.36,180,1013.1,17.7,999.0,13.5,99,99
28149,2020,7,16,14,40,999,2.7,4.3,0.84,13.79,5.44,175,1013.6,17.9,999.0,13.5,99,99
28155,2020,7,16,15,40,999,1.6,2.7,0.78,7.69,5.29,274,1014.1,18.1,999.0,13.1,99,99
28161,2020,7,16,16,40,999,2.6,5.3,0.86,12.9,5.61,178,1014.2,18.1,999.0,13.3,99,99
28167,2020,7,16,17,40,999,3.4,4.4,0.85,13.79,5.47,158,1014.3,18.2,999.0,13.3,99,99
28173,2020,7,16,18,40,999,4.0,5.4,0.78,7.14,5.69,269,1014.2,18.3,999.0,13.2,99,99
28179,2020,7,16,19,40,999,3.8,5.3,0.81,8.33,5.59,274,1014.1,18.6,999.0,13.6,99,99
28185,2020,7,16,20,40,999,4.6,6.0,0.83,13.79,5.88,190,1013.6,18.6,999.0,13.6,99,99
28191,2020,7,16,21,40,999,4.7,6.1,0.85,12.9,5.9,182,1013.2,18.7,999.0,13.9,99,99
28197,2020,7,16,22,40,999,4.3,6.0,0.8,13.79,5.63,190,1013.0,18.9,999.0,14.1,99,99
28203,2020,7,16,23,40,999,4.7,6.5,0.85,12.9,5.71,182,1012.7,18.8,999.0,14.4,99,99
28209,2020,7,17,0,40,999,4.1,6.1,0.8,12.9,5.45,194,1012.5,18.7,999.0,14.4,99,99
28215,2020,7,17,1,40,999,4.0,5.6,0.81,12.9,5.61,152,1012.5,18.6,999.0,14.5,99,99
28221,2020,7,17,2,40,999,4.0,5.8,0.87,12.9,5.88,187,1012.6,18.4,999.0,14.4,99,99
28227,2020,7,17,3,40,999,4.4,5.7,0.79,12.9,5.3,186,1013.0,18.4,999.0,14.5,99,99
28233,2020,7,17,4,40,999,4.9,6.0,0.83,12.9,5.46,175,1013.5,18.5,999.0,14.7,99,99
28239,2020,7,17,5,40,999,3.8,5.2,0.87,12.9,5.42,196,1014.0,18.7,999.0,14.8,99,99
28245,2020,7,17,6,40,999,3.1,5.1,0.9,9.09,5.31,278,1014.3,18.5,999.0,14.4,99,99
28251,2020,7,17,7,40,999,2.5,3.9,0.78,12.9,5.34,185,1014.3,18.5,999.0,14.3,99,99
28257,2020,7,17,8,40,999,2.8,4.4,0.8,9.09,5.45,270,1014.3,18.6,999.0,14.5,99,99
28263,2020,7,17,9,40,999,2.6,4.2,0.79,12.9,5.58,171,1014.2,18.5,999.0,14.2,99,99
28269,2020,7,17,10,40,999,3.3,5.1,0.8,12.9,5.52,165,1014.2,18.4,999.0,14.1,99,99
28275,2020,7,17,11,40,999,2.1,3.5,0.8,12.9,6.01,185,1014.3,18.4,999.0,14.1,99,99
28281,2020,7,17,12,40,999,2.8,4.3,0.79,12.9,6.24,164,1014.6,18.3,999.0,13.7,99,99
28287,2020,7,17,13,40,999,2.2,4.2,0.82,12.9,6.52,175,1015.2,18.4,999.0,13.9,99,99
28293,2020,7,17,14,40,999,3.2,4.5,0.87,12.9,6.7,189,1015.7,18.5,999.0,13.7,99,99
28299,2020,7,17,15,40,999,1.9,2.7,0.85,12.9,6.62,179,1016.2,18.7,999.0,13.9,99,99
28305,2020,7,17,16,40,999,2.4,3.6,0.75,12.9,6.22,183,1016.2,18.9,999.0,13.8,99,99
28311,2020,7,17,17,40,999,2.2,3.7,0.9,10.0,6.88,268,1016.3,19.0,999.0,13.9,99,99
28317,2020,7,17,18,40,999,2.6,3.8,0.81,12.12,6.61,202,1016.3,19.0,999.0,13.9,99,99
28323,2020,7,17,19,40,999,3.2,4.3,0.89,12.9,7.33,181,1016.1,18.9,999.0,13.8,99,99
28329,2020,7,17,20,40,999,3.5,4.6,0.8,12.9,6.84,170,1015.8,18.9,999.0,13.9,99,99
28335,2020,7,17,21,40,999,4.2,5.8,0.83,12.12,7.14,200,1015.4,19.1,999.0,14.1,99,99
28341,2020,7,17,22,40,999,4.8,6.4,0.77,12.9,7.21,187,1014.8,19.1,999.0,14.1,99,99
28347,2020,7,17,23,40,999,4.8,6.0,0.88,12.12,6.93,184,1014.4,19.3,999.0,14.6,99,99
28353,2020,7,18,0,40,999,4.9,6.3,0.88,12.12,6.36,205,1013.8,19.4,999.0,14.9,99,99
28359,2020,7,18,1,40,999,5.5,6.9,0.88,12.12,6.19,195,1013.6,19.4,999.0,14.9,99,99
28365,2020,7,18,2,40,999,5.4,6.4,0.86,12.12,6.08,187,1013.6,19.4,999.0,15.2,99,99
28371,2020,7,18,3,40,999,5.5,6.6,0.9,11.43,5.79,212,1013.8,19.2,999.0,15.2,99,99
28377,2020,7,18,4,40,999,5.3,6.4,0.83,12.12,5.28,214,1014.5,19.3,999.0,15.4,99,99
28383,2020,7,18,5,40,999,5.1,6.5,0.88,12.12,5.35,162,1014.8,19.3,999.0,15.5,99,99
28389,2020,7,18,6,40,999,4.5,5.8,0.9,17.39,5.57,116,1015.2,19.2,999.0,15.4,99,99
28395,2020,7,18,7,40,999,3.7,5.0,0.89,12.12,5.65,174,1015.0,19.3,999.0,15.9,99,99
28401,2020,7,18,8,40,999,3.8,5.2,0.89,12.12,5.83,175,1014.8,19.3,999.0,16.0,99,99
28407,2020,7,18,9,40,999,4.4,5.5,0.9,11.43,5.78,193,1014.7,19.1,999.0,15.8,99,99
28413,2020,7,18,10,40,999,4.1,5.9,0.91,10.0,5.92,268,1014.5,19.0,999.0,15.6,99,99
28419,2020,7,18,11,40,999,3.8,4.7,0.95,12.12,6.35,192,1014.5,19.1,999.0,15.7,99,99
28425,2020,7,18,12,40,999,2.5,3.6,0.95,11.43,6.29,181,1015.0,18.9,999.0,15.1,99,99
28431,2020,7,18,13,40,999,4.7,5.7,0.91,10.0,5.92,219,1015.3,19.0,999.0,15.3,99,99
28437,2020,7,18,14,40,999,3.3,5.0,0.94,8.33,6.04,275,1016.1,18.9,999.0,15.2,99,99
28443,2020,7,18,15,40,999,4.0,5.8,1.0,16.0,6.12,184,1016.5,19.0,999.0,15.2,99,99
28449,2020,7,18,16,40,999,4.0,5.9,0.94,10.0,6.08,218,1016.5,19.2,999.0,15.2,99,99
28455,2020,7,18,17,40,999,4.0,5.5,0.87,16.0,5.99,185,1016.6,19.2,999.0,15.3,99,99
28461,2020,7,18,18,40,999,4.0,5.3,0.89,9.09,5.83,270,1016.4,19.3,999.0,15.6,99,99
28467,2020,7,18,19,40,999,3.8,5.7,0.87,16.0,5.99,222,1016.1,19.4,999.0,15.5,99,99
28473,2020,7,18,20,40,999,4.9,6.6,0.89,9.09,6.32,279,1015.8,19.1,999.0,15.4,99,99
28479,2020,7,18,21,40,999,4.9,6.1,0.8,16.0,5.76,185,1015.3,19.2,999.0,15.5,99,99
28485,2020,7,18,22,40,999,6.4,7.8,0.85,16.0,5.61,202,1014.7,19.3,999.0,15.9,99,99
28491,2020,7,18,23,40,999,7.1,8.4,0.83,14.81,4.96,175,1013.9,19.4,999.0,16.0,99,99
28497,2020,7,19,0,40,999,7.2,8.6,0.96,12.12,5.06,175,1013.5,19.3,999.0,15.9,99,99
28503,2020,7,19,1,40,999,7.7,9.0,0.99,11.43,4.79,194,1013.4,19.3,999.0,16.2,99,99
28509,2020,7,19,2,40,999,8.0,9.4,0.99,4.17,4.65,289,1013.4,19.4,999.0,16.5,99,99
28515,2020,7,19,3,40,999,7.7,9.8,1.11,14.81,4.83,220,1013.7,19.2,999.0,16.4,99,99
28521,2020,7,19,4,40,999,6.6,7.8,1.09,4.76,4.72,299,1014.4,19.1,999.0,16.4,99,99
28527,2020,7,19,5,40,999,5.6,7.0,1.11,4.76,4.76,298,1014.3,19.3,999.0,16.6,99,99
28533,2020,7,19,6,40,999,5.2,7.4,1.17,4.55,5.11,306,1014.3,19.1,999.0,16.5,99,99
28539,2020,7,19,7,40,999,6.3,8.2,1.09,5.0,4.83,303,1014.1,18.7,999.0,16.2,99,99
28545,2020,7,19,8,40,999,6.2,7.7,1.11,4.76,4.91,293,1014.1,18.9,999.0,16.4,99,99
28551,2020,7,19,9,40,999,4.4,6.0,1.04,4.76,4.96,297,1013.9,18.9,999.0,16.3,99,99
28557,2020,7,19,10,40,999,3.5,5.4,1.09,13.79,5.29,178,1013.8,18.6,999.0,16.1,99,99
28563,2020,7,19,11,40,999,4.1,6.2,1.01,5.0,5.11,305,1013.7,18.7,999.0,15.9,99,99
28569,2020,7,19,12,40,999,4.3,5.6,0.98,5.0,5.41,285,1013.8,18.5,999.0,15.9,99,99
28575,2020,7,19,13,40,999,4.5,6.3,1.06,13.79,5.44,166,1014.1,18.2,999.0,15.5,99,99
28581,2020,7,19,14,40,999,4.5,6.5,0.99,13.79,5.51,154,1014.7,18.5,999.0,15.6,99,99
28587,2020,7,19,15,40,999,4.9,6.3,1.02,10.0,5.68,245,1015.1,18.5,999.0,15.9,99,99
28593,2020,7,19,16,40,999,5.9,7.7,0.96,12.9,5.35,162,1015.4,18.6,999.0,15.9,99,99
28599,2020,7,19,17,40,999,5.0,6.9,1.01,13.79,5.5,178,1015.6,18.9,999.0,16.0,99,99
28605,2020,7,19,18,40,999,6.8,8.6,1.04,12.9,5.53,164,1015.8,19.2,999.0,16.5,99,99
28611,2020,7,19,19,40,999,7.9,9.2,1.15,9.09,4.89,267,1015.7,19.2,999.0,16.6,99,99
28617,2020,7,19,20,40,999,7.8,9.7,1.18,10.0,4.7,233,1015.4,19.1,999.0,16.7,99,99
28623,2020,7,19,21,40,999,8.0,9.5,1.19,11.43,4.76,229,1015.1,19.1,999.0,16.7,99,99
28629,2020,7,19,22,40,999,8.1,9.8,1.24,12.9,4.75,188,1014.3,19.2,999.0,16.9,99,99
28635,2020,7,19,23,40,999,8.9,10.5,1.24,12.9,4.82,194,1013.6,19.2,999.0,16.9,99,99
28641,2020,7,20,0,40,999,8.9,10.7,1.3,5.26,4.85,283,1013.1,19.3,999.0,17.0,99,99
28647,2020,7,20,1,40,999,7.8,9.9,1.41,10.0,5.03,291,1012.8,19.4,999.0,17.2,99,99
28653,2020,7,20,2,40,999,7.3,8.7,1.47,5.26,5.2,287,1013.1,19.2,999.0,16.9,99,99
28659,2020,7,20,3,40,999,6.8,8.4,1.4,10.81,5.18,266,1013.2,19.2,999.0,17.0,99,99
28665,2020,7,20,4,40,999,6.7,7.9,1.44,5.0,5.2,310,1013.8,19.0,999.0,16.8,99,99
28671,2020,7,20,5,40,999,7.6,9.3,1.48,5.0,5.43,307,1014.0,19.0,999.0,16.7,99,99
28677,2020,7,20,6,40,999,7.4,9.1,1.31,5.26,5.19,297,1014.1,18.7,999.0,16.4,99,99
28683,2020,7,20,7,40,999,8.3,10.6,1.31,5.0,5.05,286,1014.2,18.5,999.0,16.3,99,99
28689,2020,7,20,8,40,999,8.1,9.9,1.34,5.56,5.2,284,1014.3,18.3,999.0,15.9,99,99
28695,2020,7,20,9,40,999,6.7,9.0,1.41,5.88,5.19,277,1014.4,18.0,999.0,15.5,99,99
